fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,long_diff,lat_diff,year,month,day,hour,weekday,time_of_day,distance,cost_per_km,Country,State,City,Area,max_temp,min_temp,precipitation,snow
9.5,-73.986059,40.757159,-73.97613,40.780589,1,0.0099289999999996,0.0234299999999976,2009,2,12,17,3,evening rush hour,2733.597059871603,3.4752744431347224,United States,New York,New York,Manhattan,13.9,6.7,3.0,0.0
4.9,-73.97778000000001,40.763656,-73.989486,40.772966,1,0.0117059999999895,0.0093099999999992,2009,5,6,20,2,night,1430.2720789145387,3.4259215936863603,United States,New York,New York,Manhattan,18.3,9.4,29.2,0.0
8.1,-73.98869,40.751273,-73.95881,40.764643,3,0.0298800000000056,0.0133700000000018,2009,6,5,5,4,early morning,2927.5620507531435,2.7668072818187395,United States,New York,New York,Manhattan,15.6,12.8,23.9,0.0
6.9,-73.96869699999999,40.754998,-73.987302,40.73594,1,0.0186050000000079,0.0190580000000011,2011,8,31,19,2,night,2635.932972666177,2.6176689891400504,United States,New York,New York,Manhattan,29.4,17.2,0.0,0.0
7.7,-73.96837,40.759005,-73.979105,40.77757,3,0.010735000000011,0.0185649999999952,2010,5,18,21,1,night,2252.064373503419,3.419085213812743,United States,New York,New York,Manhattan,16.7,10.0,27.7,0.0
15.7,-73.97336,40.786952,-73.97281,40.743548,1,0.000550000000004,0.0434040000000024,2010,4,1,14,3,afternoon,4820.210689614793,3.257119037104717,United States,New York,New York,Manhattan,21.1,8.9,0.0,0.0
9.0,-73.970164,40.765016,-73.962801,40.77478,1,0.007362999999998,0.0097639999999969,2014,4,2,14,2,afternoon,1249.8441727246834,7.200897677011874,United States,New York,New York,Manhattan,12.2,5.6,0.0,0.0
4.9,-73.987139,40.753038,-73.97779399999999,40.751834,1,0.0093450000000103,0.0012039999999942,2011,2,1,15,1,evening rush hour,800.4236940701087,6.121757809396897,United States,New York,New York,Manhattan,-1.1,-3.9,4.3,28.0
5.4,-73.994222,40.751228999999995,-73.99833100000001,40.744342,1,0.0041090000000139,0.0068869999999918,2009,1,10,22,5,night,839.8440040901842,6.42976549656969,United States,New York,New York,Manhattan,-1.1,-5.0,3.6,25.0
8.9,-73.977137,40.779272,-73.970457,40.757971999999995,1,0.0066800000000029,0.0213000000000036,2009,2,19,8,3,morning rush hour,2431.660487843745,3.660050424182367,United States,New York,New York,Manhattan,10.0,-2.8,0.0,0.0
17.0,-73.9939,40.751714,-73.958575,40.76039,1,0.0353250000000002,0.0086760000000012,2014,1,16,14,3,afternoon,3134.738815090711,5.423099340258134,United States,New York,New York,Manhattan,5.6,2.2,0.0,0.0
12.0,-73.97952270507811,40.72731018066406,-73.98487854003906,40.760650634765625,1,0.0053558349609517,0.0333404541015625,2015,1,4,9,6,morning rush hour,3729.954200099338,3.2171976802504463,United States,New York,New York,Manhattan,13.3,5.0,7.6,0.0
7.7,-73.983052,40.776055,-73.97409300000001,40.763797,1,0.0089589999999901,0.0122580000000027,2009,10,3,18,5,evening rush hour,1557.2732489685372,4.944540083187141,United States,New York,New York,Manhattan,21.1,17.2,7.4,0.0
13.3,-73.9859,40.7277,-73.9825,40.7719,1,0.0033999999999991,0.0442000000000035,2011,8,15,13,0,afternoon,4916.760710487631,2.7050330050902445,United States,New York,New York,Manhattan,25.0,20.0,14.2,0.0
16.9,-73.986593,40.759143,-74.001767,40.72012,1,0.0151740000000017,0.0390230000000002,2009,4,9,11,3,afternoon,4519.023911814661,3.739745646358757,United States,New York,New York,Manhattan,17.2,5.0,0.0,0.0
6.5,-73.990305,40.756175,-74.00367800000001,40.759173,1,0.0133730000000014,0.002997999999998,2010,3,5,22,4,night,1177.3046244012016,5.521085932458659,United States,New York,New York,Manhattan,9.4,1.1,0.0,0.0
6.5,-73.968111,40.765625,-73.980863,40.759159999999994,1,0.012752000000006,0.0064650000000057,2009,1,9,14,4,afternoon,1294.136168324782,5.022655389049239,United States,New York,New York,Manhattan,0.0,-3.3,0.0,0.0
5.3,-73.98973000000001,40.734507,-74.001847,40.740387,1,0.0121169999999892,0.0058799999999976,2009,7,10,1,4,clubbing,1214.05099365531,4.365549740248194,United States,New York,New York,Manhattan,25.6,15.6,0.0,0.0
4.1,-73.954332,40.77406,-73.952558,40.766325,2,0.0017739999999974,0.0077349999999967,2009,2,2,16,0,evening rush hour,871.9273834763668,4.702226444194625,United States,New York,New York,Manhattan,11.7,1.1,0.0,0.0
9.0,-73.97213745117188,40.7498893737793,-73.98185729980467,40.73242568969727,1,0.0097198486327982,0.0174636840820241,2015,6,17,17,2,evening rush hour,2105.9366314756735,4.273632865056112,United States,New York,New York,Manhattan,27.8,18.9,0.0,0.0
8.5,-73.99765014648438,40.73622131347656,-73.9818115234375,40.76134872436523,2,0.015838623046875,0.0251274108886647,2015,2,16,11,0,afternoon,3094.4230164020823,2.746877190011028,United States,New York,New York,Manhattan,-6.0,-16.0,0.0,0.0
21.0,-73.95431518554686,40.76970291137695,-73.9901351928711,40.75743865966797,1,0.0358200073242329,0.0122642517089843,2015,5,17,14,6,afternoon,3316.966772691966,6.331085428075281,United States,New York,New York,Manhattan,28.3,17.8,0.5,0.0
17.3,-73.995721,40.767201,-73.951222,40.723918,4,0.0444990000000018,0.0432830000000024,2010,12,11,4,5,early morning,6101.436042778032,2.8353980732908206,United States,New York,New York,Manhattan,7.8,1.1,0.0,0.0
7.7,-73.987383,40.721255,-73.95473299999999,40.730683,1,0.0326500000000038,0.0094279999999997,2010,9,8,10,2,morning rush hour,2950.3703311534055,2.6098418624586,United States,New York,New York,Manhattan,32.2,18.9,0.0,0.0
3.7,-73.97645899999999,40.744077,-73.983699,40.734203,1,0.0072400000000101,0.0098739999999963,2009,4,14,11,1,afternoon,1255.4992872388648,2.9470347276239095,United States,New York,New York,Manhattan,11.1,5.6,4.3,0.0
9.5,-73.97843170166014,40.75239944458008,-74.00042724609375,40.74211883544922,1,0.0219955444336079,0.0102806091308593,2015,4,11,8,5,morning rush hour,2180.420287121992,4.356958177333491,United States,New York,New York,Manhattan,13.9,6.7,0.0,0.0
3.3,-73.982326,40.731314000000005,-73.989649,40.734398,1,0.0073229999999995,0.003083999999994,2010,4,26,3,0,early morning,707.0772099777708,4.667099933971491,United States,New York,New York,Manhattan,11.7,8.9,17.5,0.0
9.0,-73.95828,40.7689,-73.97351,40.782907,5,0.0152300000000025,0.0140069999999994,2014,2,19,18,2,evening rush hour,2018.0532808336432,4.459743499082525,United States,New York,New York,Manhattan,7.2,1.1,6.6,0.0
4.1,-73.977633,40.753166,-73.981589,40.757359,1,0.0039560000000022,0.0041930000000007,2011,2,20,21,6,night,573.0717661764365,7.154426796063265,United States,New York,New York,Manhattan,4.4,-6.1,0.0,0.0
3.7,-73.984218,40.732007,-73.979443,40.727616999999995,5,0.004774999999995,0.0043900000000078,2010,3,30,21,1,night,632.7531905070359,5.847461625653956,United States,New York,New York,Manhattan,10.0,5.0,62.2,0.0
5.7,-73.988433,40.737176,-73.981018,40.747329,1,0.0074149999999946,0.0101530000000025,2009,2,4,18,2,evening rush hour,1289.746189379956,4.419474193399454,United States,New York,New York,Manhattan,-1.1,-8.3,0.0,0.0
4.9,-73.98575799999999,40.753255,-73.98142,40.746513,1,0.0043379999999899,0.0067420000000026,2011,6,19,18,6,evening rush hour,833.5206882933544,5.878678320549932,United States,New York,New York,Manhattan,28.3,20.6,0.0,0.0
6.1,-73.9956,40.754782,-74.002493,40.734401,1,0.0068930000000051,0.0203810000000004,2011,7,22,22,4,night,2336.9654480570784,2.6102225880453034,United States,New York,New York,Manhattan,40.0,28.9,0.0,0.0
10.5,-73.98860400000001,40.778445,-73.99493100000001,40.749953999999995,1,0.0063269999999988,0.0284910000000024,2014,6,15,15,6,evening rush hour,3208.6905163085717,3.2723629613490095,United States,New York,New York,Manhattan,26.7,15.0,0.0,0.0
9.7,-73.982613,40.771843,-73.978862,40.754318,2,0.003750999999994,0.0175249999999991,2009,11,2,9,0,morning rush hour,1971.742789644473,4.919505754474708,United States,New York,New York,Manhattan,12.8,7.8,0.0,0.0
10.1,-73.980253,40.765255,-73.974253,40.731925,2,0.0060000000000002,0.0333300000000065,2009,9,12,1,5,clubbing,3735.7905924129777,2.7035776631891797,United States,New York,New York,Manhattan,19.4,17.2,0.8,0.0
9.7,-73.954797,40.767289,-73.974788,40.754888,1,0.0199910000000045,0.0124009999999969,2011,7,6,17,2,evening rush hour,2178.491888265825,4.452621582961975,United States,New York,New York,Manhattan,31.7,22.8,0.0,0.0
5.3,-73.956158,40.781593,-73.966138,40.773645,1,0.0099799999999987,0.0079479999999989,2010,9,21,12,1,afternoon,1220.1651685781744,4.3436742307403735,United States,New York,New York,Manhattan,23.3,12.2,0.0,0.0
5.7,-73.991201,40.750336,-73.977786,40.752390000000005,1,0.013415000000009,0.0020540000000082,2010,1,14,6,3,early morning,1155.6380303114588,4.932340274803677,United States,New York,New York,Manhattan,5.6,-1.1,0.0,0.0
7.5,-73.97513199999999,40.73302,-73.977113,40.752058,1,0.0019810000000148,0.0190379999999947,2014,11,10,5,0,early morning,2120.760275619218,3.536467599012413,United States,New York,New York,Manhattan,16.1,6.7,0.0,0.0
10.5,-73.995627,40.749295,-73.965087,40.771609999999995,1,0.030540000000002,0.0223149999999989,2010,9,10,16,4,evening rush hour,3576.430167193364,2.93588844438139,United States,New York,New York,Manhattan,23.3,16.1,0.0,0.0
6.1,-73.985523,40.760627,-73.98918499999999,40.774452,1,0.0036619999999913,0.013824999999997,2010,11,24,18,2,evening rush hour,1566.0816829398386,3.8950714170598806,United States,New York,New York,Manhattan,10.0,5.0,0.0,0.0
6.5,-74.00299072265625,40.73112869262695,-74.00541687011719,40.74004364013672,1,0.0024261474609375,0.0089149475097656,2015,4,4,22,5,night,1010.9837404486874,6.42938134407109,United States,New York,New York,Manhattan,15.6,5.6,0.3,0.0
6.1,-74.001561,40.735996,-73.986623,40.74737,2,0.0149380000000007,0.0113739999999964,2010,9,22,0,2,clubbing,1785.2863113463186,3.4168188941077315,United States,New York,New York,Manhattan,30.6,17.8,3.0,0.0
15.0,-73.994126,40.750917,-73.949428,40.781336,1,0.0446979999999967,0.0304190000000019,2014,9,23,0,1,clubbing,5064.933611985327,2.961539311098764,United States,New York,New York,Manhattan,21.7,11.1,0.0,0.0
15.0,-73.98861694335938,40.74912643432617,-73.95635986328125,40.747520446777344,4,0.032257080078125,0.0016059875488281,2015,1,14,21,2,night,2730.083818232004,5.494336803810648,United States,New York,New York,Manhattan,0.0,-8.8,0.0,0.0
9.5,-74.006591796875,40.74441146850585,-73.9863739013672,40.74319076538085,2,0.0202178955077982,0.001220703125,2015,4,6,19,0,night,1712.9781183866337,5.54589687867558,United States,New York,New York,Manhattan,17.2,5.6,0.0,0.0
5.3,-73.965744,40.754379,-73.9672,40.765066999999995,1,0.0014560000000045,0.0106879999999947,2011,9,13,12,1,afternoon,1193.2451852948695,4.441668875194571,United States,New York,New York,Manhattan,27.8,19.4,0.0,0.0
8.0,-73.99436950683594,40.74667739868164,-73.97766876220702,40.73911666870117,1,0.0167007446289204,0.0075607299804687,2015,2,10,15,1,evening rush hour,1641.5368837573692,4.873481722621139,United States,New York,New York,Manhattan,4.4,-3.2,0.3,3.0
6.1,-73.968942,40.785745,-73.963131,40.774204,1,0.0058109999999942,0.0115410000000011,2009,9,4,10,4,morning rush hour,1372.2906918399876,4.445122331786008,United States,New York,New York,Manhattan,28.3,16.7,0.0,0.0
18.0,-73.98103332519531,40.75872802734375,-73.95498657226562,40.73442077636719,2,0.0260467529296875,0.0243072509765625,2015,2,13,23,4,clubbing,3482.156014034222,5.16921123793826,United States,New York,New York,Manhattan,-6.0,-13.2,0.0,0.0
6.0,-73.98799133300781,40.7493782043457,-73.98880767822266,40.75851821899415,1,0.0008163452148437,0.0091400146484446,2015,4,4,11,5,afternoon,1017.3293466908608,5.897795064613662,United States,New York,New York,Manhattan,15.6,5.6,0.3,0.0
13.7,-73.992956,40.754508,-73.99911800000001,40.722575,1,0.0061620000000033,0.0319330000000022,2011,10,19,10,2,morning rush hour,3584.1168207919236,3.822420050742915,United States,New York,New York,Manhattan,16.7,15.6,28.4,0.0
4.9,-73.976452,40.780742,-73.98034200000001,40.770672999999995,2,0.0038900000000126,0.0100690000000014,2010,5,24,17,0,evening rush hour,1165.3838600376755,4.2046231872831905,United States,New York,New York,Manhattan,22.8,15.6,0.8,0.0
4.9,-73.968681,40.754807,-73.97859,40.756029,1,0.0099089999999932,0.0012219999999985,2010,6,1,14,1,afternoon,847.7019823544774,5.780333303445081,United States,New York,New York,Manhattan,29.4,18.9,0.0,0.0
4.9,-73.97646999999999,40.735987,-73.981563,40.728817,1,0.0050930000000022,0.0071700000000021,2009,9,8,20,1,night,905.0205986663764,5.414241407566369,United States,New York,New York,Manhattan,23.3,16.7,0.0,0.0
6.5,-73.985129,40.778954,-73.98058499999999,40.765687,1,0.0045440000000098,0.013266999999999,2010,1,29,19,4,night,1522.4195276788328,4.269519591561118,United States,New York,New York,Manhattan,-5.0,-8.9,0.0,0.0
8.2,-73.98349,40.765833,-73.96135100000001,40.768866,1,0.0221389999999956,0.003033000000002,2009,1,26,20,0,night,1899.3058944574211,4.317366688498859,United States,New York,New York,Manhattan,-1.7,-7.2,0.0,0.0
7.5,-74.00408172607422,40.74240112304688,-73.98440551757811,40.74317169189453,1,0.0196762084961079,0.0007705688476491,2015,2,18,1,2,clubbing,1664.0818439608397,4.506989861837886,United States,New York,New York,Manhattan,0.6,-7.1,0.0,0.0
7.7,-73.97444499999999,40.764015,-73.983595,40.744184,2,0.0091500000000053,0.0198310000000034,2010,11,13,0,5,clubbing,2333.839302136037,3.2992845706868534,United States,New York,New York,Manhattan,17.8,7.8,0.0,0.0
15.0,-74.00211334228516,40.75183868408203,-73.9917221069336,40.72645950317383,1,0.0103912353515625,0.0253791809082031,2015,1,16,19,4,night,2951.838134461354,5.081579448710921,United States,New York,New York,Manhattan,6.1,-6.6,0.0,0.0
10.5,-73.981387,40.758807,-73.947467,40.779305,1,0.0339199999999948,0.0204980000000034,2011,9,14,20,2,night,3658.2609521834806,2.870216241335364,United States,New York,New York,Manhattan,29.4,21.1,0.0,0.0
7.5,-73.97287,40.76444,-73.98841999999999,40.76914,1,0.0155499999999904,0.0046999999999997,2014,3,25,20,1,night,1412.8434035062453,5.308443937514443,United States,New York,New York,Manhattan,3.9,-3.2,0.0,0.0
4.5,-73.99502700000001,40.744631,-74.000213,40.7352,1,0.0051859999999948,0.0094309999999993,2011,9,13,13,1,afternoon,1135.216631263569,3.9640011219631366,United States,New York,New York,Manhattan,27.8,19.4,0.0,0.0
3.3,-74.001113,40.741735,-73.998253,40.745095,3,0.0028599999999983,0.0033600000000006,2011,10,8,20,5,night,444.4905283685236,7.424230190264023,United States,New York,New York,Manhattan,25.0,12.2,0.0,0.0
6.5,-73.972497,40.75278,-73.95885,40.763898,3,0.0136470000000059,0.0111179999999961,2010,9,24,12,4,afternoon,1688.8814361017774,3.8487011942076257,United States,New York,New York,Manhattan,29.4,19.4,0.0,0.0
14.5,-74.005477,40.738575,-73.97272199999999,40.756735,5,0.0327550000000087,0.0181600000000017,2014,5,28,1,2,clubbing,3423.3710950866293,4.2355910584192955,United States,New York,New York,Manhattan,17.8,12.2,0.0,0.0
7.3,-73.98478399999999,40.736512,-73.976727,40.751746,1,0.0080569999999937,0.0152339999999995,2011,4,22,10,4,morning rush hour,1823.4542873597748,4.0033907351578595,United States,New York,New York,Manhattan,10.6,4.4,0.0,0.0
6.1,-73.978788,40.755519,-73.975802,40.765463,1,0.0029859999999928,0.0099439999999972,2010,5,15,19,5,night,1132.692888262127,5.385396220999616,United States,New York,New York,Manhattan,22.8,15.6,0.0,0.0
4.1,-73.959427,40.774613,-73.952647,40.780213,5,0.0067800000000062,0.0056000000000011,2010,5,26,16,2,evening rush hour,845.1733379373555,4.851075886996203,United States,New York,New York,Manhattan,33.3,18.3,0.0,0.0
8.0,-73.99208068847656,40.75920867919922,-73.98408508300781,40.78045654296875,1,0.00799560546875,0.0212478637695312,2015,5,1,17,4,evening rush hour,2454.2268005021265,3.259682437810241,United States,New York,New York,Manhattan,17.2,9.4,0.0,0.0
6.0,-73.993362,40.733317,-73.995473,40.740992,1,0.0021109999999993,0.0076749999999989,2014,3,19,10,2,morning rush hour,870.7528117247755,6.89058929148363,United States,New York,New York,Manhattan,7.8,0.0,23.4,0.0
3.7,-73.983436,40.746818,-73.988475,40.73988,1,0.0050389999999964,0.0069379999999981,2009,3,1,9,6,morning rush hour,880.1920964097135,4.203627838845893,United States,New York,New York,Manhattan,2.2,-2.2,3.8,46.0
4.1,-73.962199,40.776363,-73.971793,40.765764,1,0.0095940000000069,0.0105990000000062,2011,10,11,22,1,night,1428.7853247855232,2.869570346836713,United States,New York,New York,Manhattan,22.8,16.7,0.0,0.0
7.0,-73.97203,40.75652,-73.98601,40.75225,2,0.0139799999999894,0.0042700000000053,2014,8,20,22,2,night,1272.234697293041,5.502129453703817,United States,New York,New York,Manhattan,28.9,21.1,0.0,0.0
9.7,-73.98963,40.735626,-73.985599,40.763121000000005,1,0.0040310000000118,0.0274950000000018,2011,11,15,21,1,night,3072.213793509655,3.157332351183429,United States,New York,New York,Manhattan,18.3,14.4,0.0,0.0
7.7,-73.97550600000001,40.75789,-73.96085,40.774992,1,0.0146560000000164,0.0171019999999941,2011,1,25,16,1,evening rush hour,2266.729318702107,3.3969649293674364,United States,New York,New York,Manhattan,2.8,-4.4,1.3,25.0
11.5,-73.9706802368164,40.75807189941406,-74.00410461425781,40.74281311035156,1,0.0334243774414062,0.0152587890625,2015,1,31,21,5,night,3292.2849567083763,3.4930147758223486,United States,New York,New York,Manhattan,-3.2,-10.5,0.0,0.0
7.3,-73.992758,40.737167,-73.97065500000001,40.756221999999994,5,0.0221029999999871,0.0190549999999944,2010,3,31,6,2,early morning,2821.7625031658913,2.587035582126322,United States,New York,New York,Manhattan,13.9,7.2,0.3,0.0
14.1,-73.982623,40.772746999999995,-74.004793,40.729552000000005,1,0.0221700000000026,0.0431949999999901,2010,6,8,15,1,evening rush hour,5149.211181611292,2.7382834967719902,United States,New York,New York,Manhattan,23.9,14.4,0.0,0.0
5.5,-73.96889499999999,40.764276,-73.97819100000001,40.759646,2,0.0092960000000203,0.0046300000000059,2014,10,4,19,5,night,938.333784507903,5.861453664789874,United States,New York,New York,Manhattan,20.6,11.1,30.0,0.0
10.5,-73.98123931884766,40.75287628173828,-73.99527740478516,40.72617721557617,6,0.0140380859375,0.0266990661621093,2015,3,10,15,1,evening rush hour,3193.2124377607256,3.28822469680822,United States,New York,New York,Manhattan,11.7,3.9,11.7,0.0
8.1,-73.96973,40.756707,-73.988013,40.764767,1,0.0182829999999967,0.0080600000000004,2011,9,1,8,3,morning rush hour,1784.4952547197024,4.539098649086797,United States,New York,New York,Manhattan,28.3,18.9,0.0,0.0
9.7,-73.98392199999999,40.755333,-73.996402,40.727303000000006,1,0.0124800000000107,0.028029999999994,2009,8,1,20,5,night,3286.3410333487213,2.951610895390208,United States,New York,New York,Manhattan,28.3,18.3,0.0,0.0
4.9,-73.978252,40.754508,-73.985235,40.762977,3,0.0069830000000052,0.008468999999998,2009,9,30,15,2,evening rush hour,1110.0387194736131,4.414260434378009,United States,New York,New York,Manhattan,15.6,9.4,0.0,0.0
10.5,-73.98741912841797,40.73284912109375,-73.97187042236328,40.747169494628906,2,0.0155487060546875,0.0143203735351562,2015,4,7,20,1,night,2062.4601070295676,5.091007561412907,United States,New York,New York,Manhattan,16.7,5.6,3.8,0.0
10.5,-73.969433,40.757445,-73.992628,40.737392,1,0.0231950000000011,0.0200529999999972,2009,7,23,18,3,evening rush hour,2965.8732190263167,3.5402727037156043,United States,New York,New York,Manhattan,25.0,17.8,9.9,0.0
5.0,-73.988312,40.724045,-73.981047,40.73623,1,0.0072649999999896,0.0121850000000023,2014,9,13,1,5,clubbing,1485.8057841748528,3.365177369245986,United States,New York,New York,Manhattan,20.6,14.4,6.6,0.0
7.3,-73.982333,40.76893,-73.993554,40.747,1,0.0112210000000061,0.0219299999999975,2010,7,31,9,5,morning rush hour,2613.1472620744617,2.7935662509141768,United States,New York,New York,Manhattan,29.4,18.9,0.0,0.0
7.7,-73.983361,40.761332,-73.97296300000001,40.780317,1,0.010397999999995,0.0189849999999935,2010,2,14,14,6,afternoon,2283.7382747644897,3.3716648203893076,United States,New York,New York,Manhattan,3.9,-2.2,0.0,0.0
5.5,-73.982129,40.772748,-73.977427,40.784339,1,0.0047019999999946,0.0115910000000027,2014,2,2,10,6,morning rush hour,1346.9862659481992,4.083189368028428,United States,New York,New York,Manhattan,13.3,3.9,0.0,0.0
5.0,-73.99124145507811,40.7497444152832,-73.98625183105469,40.744155883789055,1,0.0049896240234232,0.0055885314941477,2015,4,15,7,2,morning rush hour,750.1514445839249,6.665320764360154,United States,New York,New York,Manhattan,22.2,10.6,0.0,0.0
4.9,-73.982557,40.771522,-73.989135,40.774365,2,0.0065780000000046,0.0028430000000057,2010,3,9,22,1,night,638.806237408014,7.670557538514305,United States,New York,New York,Manhattan,16.1,6.7,0.0,0.0
7.5,-73.98042099999999,40.720552000000005,-73.984562,40.729687,1,0.0041410000000041,0.0091349999999934,2014,11,3,12,0,afternoon,1073.060651819383,6.9893532926435125,United States,New York,New York,Manhattan,16.1,3.9,0.0,0.0
14.0,-73.993047,40.742667,-73.972472,40.764817,1,0.020575000000008,0.0221500000000034,2014,11,2,14,6,afternoon,3011.519445416285,4.648816072334797,United States,New York,New York,Manhattan,8.9,5.0,0.0,0.0
12.5,-73.962456,40.77,-73.98790699999999,40.741126,1,0.0254509999999896,0.0288740000000018,2014,9,3,10,2,morning rush hour,3860.0970043796897,3.238260589259136,United States,New York,New York,Manhattan,30.0,22.2,0.0,0.0
4.0,-73.96253204345702,40.767391204833984,-73.95326232910156,40.7646598815918,2,0.0092697143554545,0.0027313232421875,2015,6,2,7,1,morning rush hour,839.3780914458766,4.765432932744018,United States,New York,New York,Manhattan,12.8,10.0,9.4,0.0
6.5,-73.98469300000001,40.759112,-73.994667,40.740517,2,0.0099739999999997,0.0185950000000048,2009,4,5,10,6,morning rush hour,2230.149881119602,2.914602312171416,United States,New York,New York,Manhattan,18.3,7.2,0.0,0.0
19.5,-73.992405,40.724391,-73.970332,40.783869,1,0.022073000000006,0.0594780000000056,2014,3,5,20,2,night,6862.96435439403,2.841337794143587,United States,New York,New York,Manhattan,3.9,-3.2,0.0,0.0
7.3,-73.988247,40.724833,-74.006518,40.738588,1,0.0182709999999985,0.0137550000000032,2010,1,1,20,4,night,2171.5016609337986,3.3617289506750008,United States,New York,New York,Manhattan,4.4,0.6,0.8,0.0
9.3,-73.993808,40.751740000000005,-73.981047,40.767624,1,0.0127609999999975,0.0158839999999926,2009,6,5,17,4,evening rush hour,2066.9922730908165,4.499291129953532,United States,New York,New York,Manhattan,15.6,12.8,23.9,0.0
3.5,-73.953837,40.775171,-73.95640300000001,40.771586,1,0.0025660000000158,0.003585000000001,2014,12,8,17,0,evening rush hour,453.23457813947994,7.722270472759249,United States,New York,New York,Manhattan,2.8,-4.3,0.0,0.0
7.3,-74.00075600000001,40.725835,-74.006186,40.743811,2,0.0054299999999898,0.0179760000000044,2011,9,12,12,0,afternoon,2048.231846430142,3.5640496522515996,United States,New York,New York,Manhattan,26.7,18.9,0.0,0.0
6.5,-74.004083,40.742094,-73.985253,40.735788,1,0.0188299999999941,0.0063060000000021,2014,3,20,23,3,clubbing,1737.835949514272,3.7402840019604615,United States,New York,New York,Manhattan,12.2,4.4,0.0,0.0
9.3,-73.987011,40.776157,-73.994649,40.750440000000005,1,0.007638,0.0257169999999931,2009,8,14,17,4,evening rush hour,2927.7690020774894,3.176480109394183,United States,New York,New York,Manhattan,30.0,19.4,0.0,0.0
6.5,-73.983035,40.744606,-73.97535400000001,40.761604,1,0.0076809999999909,0.0169980000000009,2009,8,25,9,1,morning rush hour,1995.9528496936891,3.2565899545159738,United States,New York,New York,Manhattan,28.3,20.6,0.0,0.0
5.7,-73.970607,40.763045,-73.95798,40.776922,1,0.0126269999999948,0.0138770000000008,2009,2,11,17,2,evening rush hour,1873.8375532441544,3.0418858828673025,United States,New York,New York,Manhattan,18.3,7.2,0.8,0.0
7.7,-73.975358,40.777341,-73.953388,40.788407,1,0.021969999999996,0.0110659999999995,2011,8,25,11,3,afternoon,2224.705889360505,3.461131665459553,United States,New York,New York,Manhattan,25.6,22.2,12.4,0.0
5.7,-73.971488,40.754987,-73.980705,40.746196999999995,1,0.0092170000000066,0.0087900000000047,2011,8,25,12,3,afternoon,1248.4806096203545,4.565549481568072,United States,New York,New York,Manhattan,25.6,22.2,12.4,0.0
7.7,-73.981137,40.740717,-73.97916500000001,40.765021999999995,1,0.0019719999999949,0.0243049999999982,2009,1,31,6,5,early morning,2704.1819024022643,2.8474415841477576,United States,New York,New York,Manhattan,-2.8,-6.7,0.0,0.0
6.9,-73.992077,40.729163,-73.97976,40.74491,1,0.0123169999999959,0.0157469999999975,2009,4,3,22,4,night,2034.7815760405483,3.3910273619769105,United States,New York,New York,Manhattan,16.1,8.9,23.1,0.0
